mean_thickness,std_thickness,tdose,tsat
0.98842007,0.0050155004,0.25355712,0.30179122
0.9637185,0.0039304225,2.7799885,3.9797952
0.95090294,0.002188078,22.88472,35.360703
0.9834385,7.9834885e-05,15.326827,17.248192
0.5143835,0.10389378,0.39957294,1.9641267
0.96128225,0.061749224,0.66584647,0.94937235
0.69663954,0.0024738417,0.39586303,1.522127
0.9012194,0.09598177,2.1480865,3.905268
0.9271891,0.014476768,0.022282075,0.040082816
0.9572139,0.0060401405,0.0711219,0.10754309
0.9523927,0.00023344041,1.395973,2.114218
0.91543067,0.08813717,0.047957946,0.08356709
0.9582827,0.0010223761,14.132833,20.632877
0.8228879,0.043058455,0.008283194,0.021051863
0.3294306,0.29166093,0.0074188635,0.03243253
0.9075267,0.14085005,0.11674166,0.18366697
0.96111953,0.0001220846,33.471035,47.51387
0.9526784,0.00046990873,24.39469,36.92347
0.94555455,0.038300414,0.1014029,0.16838206
0.7937099,0.3557779,2.0633793,3.0535448
0.78846157,0.19041662,0.41616035,0.9079788
0.74994576,0.43297115,1.517665,2.315612
0.6373645,0.006249022,0.54120684,2.427595
0.42748374,0.3236202,0.04153185,0.14632565
0.47651285,0.44885033,1.6523044,4.1853538
0.8561663,0.0018684238,0.14949399,0.35487273
0.95439804,0.0036825717,1.3236468,2.0146542
0.79847956,0.038759228,4.6095066,12.646315
0.99398464,0.0053848736,0.78037137,0.91075224
0.89798087,0.000505332,1.5787133,3.186485
0.71342635,0.0078063114,0.034164112,0.12435727
0.8797054,0.11343018,1.184665,2.254942
0.951682,0.06994367,0.18469515,0.2770428
0.73845166,0.0782216,0.86571926,2.6195617
0.9799709,0.017016964,2.7022986,3.7298737
0.8597154,0.03196616,0.20814666,0.4784987
0.80048573,0.024643192,0.014093708,0.039175794
0.90126884,0.011881278,0.41519514,0.83173496
0.6191123,0.3389003,0.036025207,0.08815841
0.5460228,0.45142427,0.013043808,0.027700564
0.99998486,2.6196716e-05,0.27891648,0.32022002
0.98030376,0.0006232253,13.64212,16.19941
0.97862,0.00153271,31.816029,39.131813
0.95075166,0.0033726569,0.7070843,1.0995555
0.82723653,0.0014934951,2.9826405,7.815096
0.8774874,0.083544105,0.0084725795,0.01716027
0.98968315,0.0035196198,0.85178214,0.97047925
0.9389919,0.00046108416,4.3218675,7.128366
0.9024442,0.06267811,3.9336317,7.548756
0.76687884,0.40314612,0.021875089,0.032240782
0.6960861,0.41072583,0.2810684,0.4962803
0.9525623,0.00024874767,0.58625627,0.8869378
0.98002774,0.004134854,0.073206365,0.092283994
0.75833774,0.4185705,0.1664212,0.23099788
0.9497125,0.0765669,0.18003203,0.2670179
0.7777008,0.003810162,0.24454504,0.7456342
0.9855445,0.002023078,4.475669,5.139492
0.9795983,0.0010816144,47.098797,56.875946
0.9779983,0.0009895974,1.082684,1.3287959
0.42387727,0.20735298,0.026465667,0.12254812
0.94016767,0.07788285,0.15745148,0.24857348
0.9617892,0.0029296866,9.935436,14.324147
0.62132025,0.0018788492,0.59226066,2.7982097
0.5809784,0.395392,0.07133631,0.16609909
0.43810514,0.40137312,1.5546997,4.5469575
0.98691845,0.0038092495,0.07995612,0.0941213
0.95151484,0.000107796935,3.063823,4.6647716
0.79437166,0.0063731605,0.15307404,0.4427433
0.48354146,0.4841012,0.085689716,0.20965332
0.727883,0.0022369036,0.46339294,1.6342409
0.8653923,0.068621345,0.009774775,0.021076743
0.820064,0.016296731,0.10583784,0.2800889
0.98149157,0.0021668023,2.0016973,2.413551
0.5524324,0.06608722,0.50798994,2.491805
0.471079,0.46102843,0.10849639,0.2718292
0.9136689,0.0022482676,9.365417,17.666388
0.25516814,0.43007186,0.01418587,0.04424623
0.8443999,0.26950336,1.2455755,1.6889814
0.89701873,0.0019426798,0.11960402,0.24266988
0.6195501,0.3938237,1.6995652,3.6539922
0.97156274,0.0003049874,0.6440909,0.83637035
0.838063,0.0019713736,5.305852,13.407484
0.8340577,0.24040325,0.08081794,0.13850972
0.92509305,0.00040479223,27.086206,48.178135
0.2501302,0.43293366,0.016573466,0.053840276
0.6878116,0.16340879,0.8809876,2.5837455
0.85192186,0.23263763,0.012704676,0.020532453
0.9945029,0.009521201,0.41055214,0.5124453
0.9885128,0.004722591,0.058691986,0.069411255
0.9124764,0.0002943292,15.848208,29.975891
0.9802662,0.0014749975,37.004593,44.664845
0.6896211,0.4086385,0.03044808,0.054553367
0.80580276,0.0019490763,5.7638493,16.16774
0.96406794,0.0045411615,0.038917612,0.055801377
0.51248646,0.40139896,0.15662661,0.40974742
0.56875294,0.42841157,1.1221299,2.4319441
0.2486262,0.43062043,0.012946639,0.051621236
0.966174,0.006125176,0.03694643,0.052741442
0.94868886,0.00029097102,1.8511847,2.8747292
0.9377865,0.0010286217,9.07001,15.093201
0.9112201,0.109853916,0.010161787,0.017150586
0.95447224,0.009127002,0.26645342,0.41445947
0.97958124,6.486746e-05,35.784416,42.403748
0.9187858,0.0025732294,0.09923411,0.18284956
